statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Iowa,"[-93.55957031249999,42.05745022024682]",11,Hong Kong,"[114.13970947265625,22.403410892712124]",152.1,239.35,196.35,225.74,1.094,1.5839,1.4837,1.8633,14.97
Nevada,"[-116.8505859375,39.45316112807394]",12,Belgium,"[4.7515869140625,50.73297844827752]",151.13,121.14,101.79,126.31,1.737,1.5749,1.1745,1.2937,24.09
Colorado,"[-105.677490234375,39.198205348894795]",15,France,"[2.28515625,47.15984001304432]",150.82,145.76,133.29,139.4,1.7651,1.7428,1.6766,1.839,4.58
Iowa,"[-93.55957031249999,42.05745022024682]",17,South Africa,"[24.0380859375,-28.478348692223175]",150.57,126.49,58.8,105.14,1.083,0.837,0.4443,0.8678,78.82
Maryland,"[-76.83425903320312,39.470125122358176]",19,Chile,"[-71.3671875,-35.46066995149529]",148.02,126.82,116.92,132.29,1.2601,1.0371,1.1631,1.3697,13.15
Virginia,"[-78.62091064453125, 37.67077737288316]",19,Colombia,"[-73.037109375,3.8204080831949407]",146.86,155.81,168.81,207.24,0.8206,0.8036,0.9483,1.2704,22.76
Mississippi,"[-90.010986328125,32.8149783969858]",20,Australia,"[134.560546875,-25.641526373065755]",146.12,119.73,133.85,123.01,1.1769,1.0425,1.2338,1.1721,-8.1
Connecticut,"[-72.6800537109375,41.67086022030498]",23,Italy,"[13.0078125,42.5530802889558]",146.03,141.86,111.24,111.5,0.889,0.8887,0.7298,0.7746,0.23
Nebraska,"[-99.7998046875,41.812267143599804]",9,Germany,"[10.17333984375,51.12421275782688]",145.38,153.92,164.48,135.43,1.9665,1.9509,2.4684,2.1226,-17.66
New Hampshire,"[-71.575927734375,43.68773584519811]",10,United Kingdom,"[-2.0654296875,54.16243396806779]",144.38,200.64,265.09,152.66,4.1123,4.7396,6.625,3.6848,-42.41
Kansas,"[-98.19580078125,38.53957267203905]",10,Singapore,"[103.84552001953125,1.3154972002419345]",143.34,159.93,192.45,236.03,1.1505,1.3303,1.8003,2.3183,22.64
South Carolina,"[-80.9197998046875, 33.904616008362325]",21,Thailand,"[101.35986328125,15.813395760460585]",143.29,149.25,155.7,326.31,0.544,0.5013,0.5025,1.0418,109.57
New Jersey,"[-74.48181152343749,40.136890695345905]",25,Indonesia,"[120.234375,-2.0210651187669897]",142.85,147.88,127.65,203.77,0.3902,0.4042,0.3981,0.6526,59.63
Alabama,"[-86.3092803955078,32.36662317982762]",18,Netherlands,"[5.537109374999999,52.02545860348814]",142.63,107.6,211.65,173.9,0.739,0.5532,1.095,0.8515,-17.84
Alaska,"[-151.611328125,65.25670649344259]",6,Spain,"[-3.076171875,40.27952566881291]",141.43,182.49,150.36,151.74,3.1236,3.5705,3.2547,3.4902,0.92
